voice,tmean,Time_s,F0_Hz
40,246.165140748091,249.875198,118.813116
40,246.165140748091,249.885198,114.52442
40,246.165140748091,249.895198,106.883599
40,246.165140748091,249.905198,105.11393
40,246.165140748091,249.915198,102.487423
40,246.165140748091,250.045198,101.393605
40,246.165140748091,250.055198,104.962514
40,246.165140748091,250.065198,104.769116
40,246.165140748091,250.075198,103.772122
40,246.165140748091,250.085198,103.034347
40,246.165140748091,250.095198,102.34386
40,246.165140748091,250.105198,101.74478
40,246.165140748091,250.115198,101.221153
40,246.165140748091,250.125198,101.142196
40,246.165140748091,250.135198,100.30112
40,246.165140748091,250.145198,100.452402
40,246.165140748091,250.155198,102.327307
40,246.165140748091,250.165198,96.845057
40,246.165140748091,250.175198,95.527058
40,246.165140748091,250.185198,88.18099
40,246.165140748091,250.195198,85.955357
40,246.165140748091,250.205198,82.426891
40,246.165140748091,250.215198,79.841365
40,246.165140748091,250.225198,79.971589
40,246.165140748091,250.555198,114.636046
40,246.165140748091,250.565198,113.526582
40,246.165140748091,250.575198,113.216536
40,246.165140748091,250.585198,113.310225
40,246.165140748091,250.595198,113.150731
40,246.165140748091,250.605198,113.53347
40,246.165140748091,250.615198,114.32977
40,246.165140748091,250.625198,114.400847
40,246.165140748091,250.635198,113.803231
40,246.165140748091,250.645198,112.856877
40,246.165140748091,250.655198,111.702291
40,246.165140748091,250.665198,111.122159
40,246.165140748091,250.675198,109.677679
40,246.165140748091,250.685198,108.647753
40,246.165140748091,250.695198,107.1295
40,246.165140748091,250.705198,106.698593
40,246.165140748091,250.875198,113.308707
40,246.165140748091,250.885198,113.545404
40,246.165140748091,250.895198,113.560709
40,246.165140748091,250.905198,113.866949
40,246.165140748091,250.915198,113.568809
40,246.165140748091,250.925198,112.995336
40,246.165140748091,250.935198,115.711845
40,246.165140748091,250.945198,118.291953
40,246.165140748091,250.955198,122.300453
40,246.165140748091,250.965198,124.832822
40,246.165140748091,250.975198,125.873071
40,246.165140748091,250.985198,126.644593
40,246.165140748091,250.995198,126.647969
40,246.165140748091,251.005198,126.48535
40,246.165140748091,251.015198,126.041703
40,246.165140748091,251.025198,125.16198
40,246.165140748091,251.035198,115.055013
40,246.165140748091,251.045198,111.968181
40,246.165140748091,251.095198,118.931802
40,246.165140748091,251.105198,117.179684
40,246.165140748091,251.115198,114.643069
40,246.165140748091,251.125198,107.059476
40,246.165140748091,251.175198,461.630151
40,246.165140748091,251.185198,459.86594
40,246.165140748091,251.305198,93.351706
40,246.165140748091,251.315198,94.726053
40,246.165140748091,251.325198,95.546066
40,246.165140748091,251.335198,109.967653
40,246.165140748091,251.345198,102.557173
40,246.165140748091,251.355198,109.446079
40,246.165140748091,251.545198,109.890067
40,246.165140748091,251.555198,108.818589
40,246.165140748091,251.565198,98.182223
40,246.165140748091,251.575198,97.945898
40,246.165140748091,251.585198,98.350639
40,246.165140748091,251.595198,99.503792
40,246.165140748091,251.675198,104.142031
40,246.165140748091,251.685198,110.051981
40,246.165140748091,251.695198,109.302205
40,246.165140748091,251.705198,110.506353
40,246.165140748091,251.715198,110.970133
40,246.165140748091,251.725198,116.651006
40,246.165140748091,251.785198,107.831306
40,246.165140748091,251.795198,109.808048
40,246.165140748091,251.805198,109.550715
40,246.165140748091,251.815198,109.396599
40,246.165140748091,251.825198,107.29372
40,246.165140748091,251.835198,105.992223
40,246.165140748091,251.845198,104.858153
40,246.165140748091,251.855198,105.401344
40,246.165140748091,251.865198,104.744023
40,246.165140748091,251.875198,103.94139
40,246.165140748091,251.885198,106.40848
40,246.165140748091,251.985198,84.640639
40,246.165140748091,251.995198,84.789763
40,246.165140748091,252.005198,82.329223
40,246.165140748091,253.345198,145.601525
40,246.165140748091,253.355198,141.968772
40,246.165140748091,253.365198,143.980009
40,246.165140748091,253.375198,145.808053
40,246.165140748091,253.385198,146.541593
40,246.165140748091,253.395198,145.678708
40,246.165140748091,253.405198,142.024528
40,246.165140748091,253.545198,169.76332
40,246.165140748091,253.555198,158.57737
40,246.165140748091,253.565198,157.146368
40,246.165140748091,253.575198,157.31629
40,246.165140748091,253.585198,159.064781
40,246.165140748091,253.595198,160.610361
40,246.165140748091,253.605198,160.391314
40,246.165140748091,253.615198,160.820503
40,246.165140748091,253.625198,161.985993
40,246.165140748091,253.635198,159.948988
40,246.165140748091,253.835198,149.005605
40,246.165140748091,253.845198,146.864406
40,246.165140748091,253.855198,145.388392
40,246.165140748091,253.865198,144.189195
40,246.165140748091,253.875198,143.717524
40,246.165140748091,253.885198,143.798326
40,246.165140748091,253.895198,144.484699
40,246.165140748091,253.905198,142.232053
40,246.165140748091,253.915198,139.48686
40,246.165140748091,253.925198,135.621021
40,246.165140748091,254.005198,139.926768
40,246.165140748091,254.015198,138.166757
40,246.165140748091,254.025198,138.596872
